Creation Time: 2022_1_23-12-5-4
12-5-4 | [INFO] SafeZoneCore - Started !
12-5-4 | [INFO] TraderPlusCore - Started !
12-5-4 | [INFO] TraderPlus file exist ! loading...
12-5-4 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
12-5-4 | [INFO] TraderPlus file exist ! loading...
12-5-4 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
12-5-4 | [INFO] TraderPlus file exist ! loading...
12-5-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
12-5-5 | [INFO] CheckForSpacesToRemove - Started
12-5-5 | [INFO] CheckForSpacesToRemove - Ended
12-5-5 | [INFO] TraderPlus file exist ! loading...
12-5-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
12-5-5 | [INFO] TraderPlusServer - Started
12-5-5 | [INFO] TraderPlusBankingCore - Started !
12-5-5 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
12-5-5 | [INFO] TraderPlusBankingServer - Started
12-5-5 | [INFO] CarLockCore - Started !
12-5-5 | [INFO] CarLockServer - Started
12-5-19 | [INFO] ID_count: 9
12-5-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
12-5-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
12-5-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
12-5-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
12-5-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
12-5-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_5.json
12-5-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_6.json
12-5-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_7.json
12-5-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_8.json
12-5-20 | [INFO] obj created: SurvivorM_Boris
12-5-20 | [INFO] TraderPlayer created and added!: 
12-5-20 | [INFO] obj created: SurvivorM_Boris
12-5-20 | [INFO] TraderPlayer created and added!: 
12-5-20 | [INFO] obj created: SurvivorM_Boris
12-5-20 | [INFO] TraderPlayer created and added!: 
12-5-20 | [INFO] obj created: SurvivorM_Boris
12-5-20 | [INFO] TraderPlayer created and added!: 
12-5-20 | [INFO] obj created: SurvivorM_Boris
12-5-20 | [INFO] TraderPlayer created and added!: 
12-5-20 | [INFO] obj created: SurvivorM_Boris
12-5-20 | [INFO] TraderPlayer created and added!: 
12-5-20 | [INFO] obj created: SurvivorM_Boris
12-5-20 | [INFO] TraderPlayer created and added!: 
12-5-20 | [INFO] obj created: SurvivorM_Boris
12-5-20 | [INFO] TraderPlayer created and added!: 
12-5-20 | [INFO] obj created: SurvivorM_Boris
12-5-20 | [INFO] TraderPlayer created and added!: 
12-8-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_36774377.json
12-8-41 | [INFO] TraderID: 3 - Customer: Bunker - ClassName: MiniDress_Pink - Quantity: 3 - Multiplier: 3 - MaxStock: 100 - Health: 0 - Price: 120 - Position: -1 - TradeMode:Sell
12-8-41 | [INFO] Transaction Sell Succeeded:Bunker product:MiniDress_Pink quantity:9 health:0 price:120
12-8-44 | [INFO] TraderID: 3 - Customer: Bunker - ClassName: NurseDress_Blue - Quantity: 3 - Multiplier: 3 - MaxStock: 100 - Health: 0 - Price: 120 - Position: -1 - TradeMode:Sell
12-8-44 | [INFO] Transaction Sell Succeeded:Bunker product:NurseDress_Blue quantity:9 health:0 price:120
12-8-46 | [INFO] TraderID: 3 - Customer: Bunker - ClassName: MiniDress_PinkChecker - Quantity: 2 - Multiplier: 2 - MaxStock: 100 - Health: 0 - Price: 80 - Position: -1 - TradeMode:Sell
12-8-46 | [INFO] Transaction Sell Succeeded:Bunker product:MiniDress_PinkChecker quantity:4 health:0 price:80
12-8-51 | [INFO] TraderID: 3 - Customer: Bunker - ClassName: MiniDress_BlueWithDots - Quantity: 3 - Multiplier: 3 - MaxStock: 100 - Health: 0 - Price: 120 - Position: -1 - TradeMode:Sell
12-8-51 | [INFO] Transaction Sell Succeeded:Bunker product:MiniDress_BlueWithDots quantity:9 health:0 price:120
12-8-54 | [INFO] TraderID: 3 - Customer: Bunker - ClassName: MiniDress_WhiteChecker - Quantity: 2 - Multiplier: 2 - MaxStock: 100 - Health: 0 - Price: 80 - Position: -1 - TradeMode:Sell
12-8-54 | [INFO] Transaction Sell Succeeded:Bunker product:MiniDress_WhiteChecker quantity:4 health:0 price:80
12-8-56 | [INFO] TraderID: 3 - Customer: Bunker - ClassName: MiniDress_RedChecker - Quantity: 3 - Multiplier: 3 - MaxStock: 100 - Health: 0 - Price: 120 - Position: -1 - TradeMode:Sell
12-8-56 | [INFO] Transaction Sell Succeeded:Bunker product:MiniDress_RedChecker quantity:9 health:0 price:120
12-8-58 | [INFO] TraderID: 3 - Customer: Bunker - ClassName: NurseDress_White - Quantity: 3 - Multiplier: 3 - MaxStock: 100 - Health: 0 - Price: 120 - Position: -1 - TradeMode:Sell
12-8-58 | [INFO] Transaction Sell Succeeded:Bunker product:NurseDress_White quantity:9 health:0 price:120
12-9-0 | [INFO] TraderID: 3 - Customer: Bunker - ClassName: MiniDress_GreenChecker - Quantity: 4 - Multiplier: 4 - MaxStock: 100 - Health: 0 - Price: 160 - Position: -1 - TradeMode:Sell
12-9-0 | [INFO] Transaction Sell Succeeded:Bunker product:MiniDress_GreenChecker quantity:16 health:0 price:160
12-9-3 | [INFO] TraderID: 3 - Customer: Bunker - ClassName: MiniDress_BlueChecker - Quantity: 3 - Multiplier: 3 - MaxStock: 100 - Health: 0 - Price: 120 - Position: -1 - TradeMode:Sell
12-9-3 | [INFO] Transaction Sell Succeeded:Bunker product:MiniDress_BlueChecker quantity:9 health:0 price:120
12-39-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_122592510.json
12-39-49 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_122592510.json
12-40-14 | [INFO] TraderID: 3 - Customer: MaToS - ClassName: MVS_Combat_Vest_OD - Quantity: 0 - Multiplier: 1 - MaxStock: 100 - Health: 0 - Price: 2000 - Position: 253 - TradeMode:Buy
12-40-14 | [INFO] Transaction Buy Succeeded:MaToS product:MVS_Combat_Vest_OD quantity:0 health:0 price:2000
12-41-16 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_122592510.json
12-41-26 | [INFO] TraderID: 3 - Customer: MaToS - ClassName: MassPlateCarrier_PartizanM - Quantity: 0 - Multiplier: 1 - MaxStock: 100 - Health: 0 - Price: 1600 - Position: 192 - TradeMode:Sell
12-41-26 | [INFO] Transaction Sell Succeeded:MaToS product:MassPlateCarrier_PartizanM quantity:0 health:0 price:1600
12-41-37 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_122592510.json
12-42-9 | [INFO] TraderID: 3 - Customer: MaToS - ClassName: MVS_Admin_Pouch_OD - Quantity: 0 - Multiplier: 1 - MaxStock: 100 - Health: 0 - Price: 500 - Position: 441 - TradeMode:Buy
12-42-9 | [INFO] Transaction Buy Succeeded:MaToS product:MVS_Admin_Pouch_OD quantity:0 health:0 price:500
12-42-44 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_122592510.json
12-42-51 | [INFO] TraderID: 3 - Customer: MaToS - ClassName: PlateCarrierHolster - Quantity: 0 - Multiplier: 1 - MaxStock: 100 - Health: 0 - Price: 160 - Position: 149 - TradeMode:Sell
12-42-51 | [INFO] Transaction Sell Succeeded:MaToS product:PlateCarrierHolster quantity:0 health:0 price:160
12-49-48 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_122592510.json
12-49-54 | [INFO] TraderID: 3 - Customer: MaToS - ClassName: GasMask - Quantity: 0 - Multiplier: 1 - MaxStock: 100 - Health: 0 - Price: 120 - Position: 64 - TradeMode:Sell
12-49-54 | [INFO] Transaction Sell Succeeded:MaToS product:GasMask quantity:0 health:0 price:120
12-50-9 | [INFO] TraderID: 3 - Customer: MaToS - ClassName: MassWinterBDUPants - Quantity: 0 - Multiplier: 1 - MaxStock: 100 - Health: 0 - Price: 160 - Position: 22 - TradeMode:Sell
12-50-9 | [INFO] Transaction Sell Succeeded:MaToS product:MassWinterBDUPants quantity:0 health:0 price:160
