Creation Time: 2022_4_30-14-24-7
14-24-7 | [INFO] SafeZoneCore - Started !
14-24-7 | [INFO] TraderPlusCore - Started !
14-24-7 | [INFO] TraderPlus file exist ! loading...
14-24-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
14-24-7 | [INFO] TraderPlus file exist ! loading...
14-24-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
14-24-7 | [INFO] TraderPlus file exist ! loading...
14-24-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
14-24-7 | [INFO] TraderPlus file exist ! loading...
14-24-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
14-24-7 | [INFO] TraderPlus file exist ! loading...
14-24-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
14-24-7 | [INFO] TraderPlus file exist ! loading...
14-24-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
14-24-8 | [INFO] TraderPlusServer - Started
14-24-8 | [INFO] TraderPlusBankingCore - Started !
14-24-8 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
14-24-8 | [INFO] TraderPlusBankingServer - Started
14-24-8 | [INFO] CarLockCore - Started !
14-24-8 | [INFO] CarLockServer - Started
