Creation Time: 2022_1_9-0-16-8
0-16-8 | [INFO] SafeZoneCore - Started !
0-16-8 | [INFO] TraderPlusCore - Started !
0-16-8 | [INFO] TraderPlus file exist ! loading...
0-16-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
0-16-8 | [INFO] TraderPlus file exist ! loading...
0-16-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
0-16-8 | [INFO] TraderPlus file exist ! loading...
0-16-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
0-16-9 | [INFO] CheckForSpacesToRemove - Started
0-16-9 | [INFO] CheckForSpacesToRemove - Ended
0-16-9 | [INFO] TraderPlus file exist ! loading...
0-16-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
0-16-9 | [INFO] TraderPlusServer - Started
0-16-9 | [INFO] TraderPlusBankingCore - Started !
0-16-9 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
0-16-9 | [INFO] TraderPlusBankingServer - Started
0-16-9 | [INFO] CarLockCore - Started !
0-16-9 | [INFO] CarLockServer - Started
