Creation Time: 2022_1_10-23-17-1
23-17-1 | [INFO] SafeZoneCore - Started !
23-17-1 | [INFO] TraderPlusCore - Started !
23-17-1 | [INFO] TraderPlus file exist ! loading...
23-17-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
23-17-1 | [INFO] TraderPlus file exist ! loading...
23-17-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
23-17-1 | [INFO] TraderPlus file exist ! loading...
23-17-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
23-17-1 | [INFO] CheckForSpacesToRemove - Started
23-17-1 | [INFO] CheckForSpacesToRemove - Ended
23-17-1 | [INFO] TraderPlus file exist ! loading...
23-17-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
23-17-1 | [INFO] TraderPlusServer - Started
23-17-1 | [INFO] TraderPlusBankingCore - Started !
23-17-1 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
23-17-1 | [INFO] TraderPlusBankingServer - Started
23-17-1 | [INFO] CarLockCore - Started !
23-17-1 | [INFO] CarLockServer - Started
