Creation Time: 2022_1_3-19-58-9
19-58-9 | [INFO] SafeZoneCore - Started !
19-58-9 | [INFO] TraderPlusCore - Started !
19-58-9 | [INFO] TraderPlus file exist ! loading...
19-58-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
19-58-9 | [INFO] TraderPlus file exist ! loading...
19-58-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
19-58-9 | [INFO] TraderPlus file exist ! loading...
19-58-12 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
19-58-12 | [INFO] CheckForSpacesToRemove - Started
19-58-12 | [INFO] CheckForSpacesToRemove - Ended
19-58-12 | [INFO] TraderPlus file exist ! loading...
19-58-12 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
19-58-12 | [INFO] TraderPlusServer - Started
19-58-12 | [INFO] TraderPlusBankingCore - Started !
19-58-12 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
19-58-12 | [INFO] TraderPlusBankingServer - Started
19-58-12 | [INFO] CarLockCore - Started !
19-58-12 | [INFO] CarLockServer - Started
19-58-28 | [INFO] ID_count: 11
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_5.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_6.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_7.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_8.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_9.json
19-58-28 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_10.json
19-58-28 | [INFO] obj created: bldr_sign_rail_platformend
19-58-28 | [INFO] TraderStatic created and added!: 
19-58-28 | [INFO] obj created: bldr_sign_rail_platformend
19-58-28 | [INFO] TraderStatic created and added!: 
19-58-28 | [INFO] obj created: bldr_sign_rail_platformend
19-58-28 | [INFO] TraderStatic created and added!: 
19-58-28 | [INFO] obj created: bldr_sign_rail_platformend
19-58-28 | [INFO] TraderStatic created and added!: 
19-58-28 | [INFO] obj created: bldr_sign_rail_platformend
19-58-28 | [INFO] TraderStatic created and added!: 
