Creation Time: 2022_1_4-23-46-0
23-46-0 | [INFO] SafeZoneCore - Started !
23-46-0 | [INFO] TraderPlusCore - Started !
23-46-0 | [INFO] TraderPlus file exist ! loading...
23-46-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
23-46-0 | [INFO] TraderPlus file exist ! loading...
23-46-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
23-46-0 | [INFO] TraderPlus file exist ! loading...
23-46-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
23-46-1 | [INFO] CheckForSpacesToRemove - Started
23-46-1 | [INFO] CheckForSpacesToRemove - Ended
23-46-1 | [INFO] TraderPlus file exist ! loading...
23-46-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
23-46-1 | [INFO] TraderPlusServer - Started
23-46-1 | [INFO] TraderPlusBankingCore - Started !
23-46-1 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
23-46-1 | [INFO] TraderPlusBankingServer - Started
23-46-1 | [INFO] CarLockCore - Started !
23-46-1 | [INFO] CarLockServer - Started
23-46-22 | [INFO] ID_count: 11
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_5.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_6.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_7.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_8.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_9.json
23-46-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_10.json
23-46-22 | [INFO] obj created: bldr_sign_rail_platformend
23-46-22 | [INFO] TraderStatic created and added!: 
23-46-22 | [INFO] obj created: bldr_sign_rail_platformend
23-46-22 | [INFO] TraderStatic created and added!: 
23-46-22 | [INFO] obj created: bldr_sign_rail_platformend
23-46-22 | [INFO] TraderStatic created and added!: 
23-46-22 | [INFO] obj created: bldr_sign_rail_platformend
23-46-22 | [INFO] TraderStatic created and added!: 
23-46-22 | [INFO] obj created: bldr_sign_rail_platformend
23-46-22 | [INFO] TraderStatic created and added!: 
