Creation Time: 2022_1_19-19-39-1
19-39-1 | [INFO] SafeZoneCore - Started !
19-39-1 | [INFO] TraderPlusCore - Started !
19-39-1 | [INFO] TraderPlus file exist ! loading...
19-39-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
19-39-1 | [INFO] TraderPlus file exist ! loading...
19-39-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
19-39-1 | [INFO] TraderPlus file exist ! loading...
19-39-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
19-39-1 | [INFO] CheckForSpacesToRemove - Started
19-39-1 | [INFO] CheckForSpacesToRemove - Ended
19-39-1 | [INFO] TraderPlus file exist ! loading...
19-39-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
19-39-1 | [INFO] TraderPlusServer - Started
19-39-1 | [INFO] TraderPlusBankingCore - Started !
19-39-1 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
19-39-1 | [INFO] TraderPlusBankingServer - Started
19-39-1 | [INFO] CarLockCore - Started !
19-39-1 | [INFO] CarLockServer - Started
19-39-15 | [INFO] ID_count: 9
19-39-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
19-39-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
19-39-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
19-39-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
19-39-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
19-39-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_5.json
19-39-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_6.json
19-39-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_7.json
19-39-15 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_8.json
19-39-16 | [INFO] obj created: SurvivorM_Boris
19-39-16 | [INFO] TraderPlayer created and added!: 
19-39-16 | [INFO] obj created: SurvivorM_Boris
19-39-16 | [INFO] TraderPlayer created and added!: 
19-39-16 | [INFO] obj created: SurvivorM_Boris
19-39-16 | [INFO] TraderPlayer created and added!: 
19-39-16 | [INFO] obj created: SurvivorM_Boris
19-39-16 | [INFO] TraderPlayer created and added!: 
19-39-16 | [INFO] obj created: SurvivorM_Boris
19-39-16 | [INFO] TraderPlayer created and added!: 
19-39-16 | [INFO] obj created: SurvivorM_Boris
19-39-16 | [INFO] TraderPlayer created and added!: 
19-39-16 | [INFO] obj created: SurvivorM_Boris
19-39-16 | [INFO] TraderPlayer created and added!: 
19-39-16 | [INFO] obj created: SurvivorM_Boris
19-39-16 | [INFO] TraderPlayer created and added!: 
19-39-16 | [INFO] obj created: SurvivorM_Boris
19-39-16 | [INFO] TraderPlayer created and added!: 
19-49-49 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_105471341.json
19-50-10 | [INFO] TraderID: 1 - Customer: Viper - ClassName: CombatKnife - Quantity: 0 - Multiplier: 1 - MaxStock: 100 - Health: 0 - Price: 100 - Position: 475 - TradeMode:Buy
19-50-10 | [INFO] Transaction Buy Succeeded:Viper product:CombatKnife quantity:0 health:0 price:100
