Creation Time: 2022_1_10-23-13-7
23-13-7 | [INFO] SafeZoneCore - Started !
23-13-7 | [INFO] TraderPlusCore - Started !
23-13-7 | [INFO] TraderPlus file exist ! loading...
23-13-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
23-13-7 | [INFO] TraderPlus file exist ! loading...
23-13-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
23-13-7 | [INFO] TraderPlus file exist ! loading...
23-13-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
23-13-7 | [INFO] CheckForSpacesToRemove - Started
23-13-7 | [INFO] CheckForSpacesToRemove - Ended
23-13-7 | [INFO] TraderPlus file exist ! loading...
23-13-7 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
23-13-7 | [INFO] TraderPlusServer - Started
23-13-7 | [INFO] TraderPlusBankingCore - Started !
23-13-7 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
23-13-7 | [INFO] TraderPlusBankingServer - Started
23-13-7 | [INFO] CarLockCore - Started !
23-13-7 | [INFO] CarLockServer - Started
