Creation Time: 2022_4_28-12-27-3
12-27-3 | [INFO] SafeZoneCore - Started !
12-27-3 | [INFO] TraderPlusCore - Started !
12-27-3 | [INFO] TraderPlus file exist ! loading...
12-27-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
12-27-3 | [INFO] TraderPlus file exist ! loading...
12-27-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
12-27-3 | [INFO] TraderPlus file exist ! loading...
12-27-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
12-27-3 | [INFO] TraderPlus file exist ! loading...
12-27-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
12-27-3 | [INFO] TraderPlus file exist ! loading...
12-27-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
12-27-3 | [INFO] TraderPlus file exist ! loading...
12-27-4 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
12-27-4 | [INFO] TraderPlusServer - Started
12-27-4 | [INFO] TraderPlusBankingCore - Started !
12-27-4 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
12-27-4 | [INFO] TraderPlusBankingServer - Started
12-27-4 | [INFO] CarLockCore - Started !
12-27-4 | [INFO] CarLockServer - Started
