Creation Time: 2022_1_3-15-23-1
15-23-1 | [INFO] SafeZoneCore - Started !
15-23-1 | [INFO] TraderPlusCore - Started !
15-23-1 | [INFO] TraderPlus file exist ! loading...
15-23-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
15-23-1 | [INFO] TraderPlus file exist ! loading...
15-23-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
15-23-1 | [INFO] TraderPlus file exist ! loading...
15-23-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
15-23-5 | [INFO] CheckForSpacesToRemove - Started
15-23-5 | [INFO] CheckForSpacesToRemove - Ended
15-23-5 | [INFO] TraderPlus file exist ! loading...
15-23-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
15-23-5 | [INFO] TraderPlusServer - Started
15-23-5 | [INFO] TraderPlusBankingCore - Started !
15-23-5 | [ERROR] TraderPlusJsonLoader::LoadFromFile ERROR Parsing $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.jsonJSON ERROR:
The document is empty.
15-23-5 | [INFO] TraderPlusBankingServer - Started
15-23-5 | [INFO] CarLockCore - Started !
15-23-5 | [INFO] CarLockServer - Started
15-23-25 | [INFO] ID_count: 11
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_5.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_6.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_7.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_8.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_9.json
15-23-25 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_10.json
15-23-28 | [INFO] obj created: SurvivorM_Boris
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
15-23-28 | [INFO] obj created: SurvivorM_Peter
15-23-28 | [INFO] TraderPlayer created and added!: 
